scl/lucy22tuned4bGs.scl	0A440Lucy22Tuned 4bGs RootKeyA = CDbDEbEFGbGG#ABbB  ·  lucy22tuned4bGs
scl/lucy23tuned4bDs.scl	0A440Lucy23Tuned 4bDs RootKeyA = CDbDD#EFGbGAbABbB  ·  lucy23tuned4bDs
scl/lucy24tuned4bCs.scl	0A440Lucy24Tuned 4bCs RootKeyA = CC#DEbEFGbGAbABbB  ·  lucy24tuned4bCs
scl/lucy25tunedAb4s.scl	0A440Lucy25Tuned Ab4s RootKeyA = CC#DD#EFF#GAbAA#B  ·  lucy25tunedAb4s
scl/lucy26tunedGb4s.scl	0A440Lucy26Tuned Gb4s RootKeyA = CC#DD#EFGbGG#AA#B  ·  lucy26tunedGb4s
scl/lucy27tunedEb5s.scl	0A440Lucy27Tuned Eb4s RootKeyA = CC#DEbEFF#GG#AA#B  ·  lucy27tunedEb5s
scl/lucy28tunedDb4s.scl	0A440Lucy28Tuned 0b5s RootKeyA = CDbDD#EFF#GG#AA#B  ·  lucy28tunedDb4s
scl/lucy29tunedBbAbGbCsDs.scl	0A440Lucy29TunedBbAbGbCsDs RootKeyA = CC#DD#EFGbGAbABbB  ·  lucy29tunedBbAbGbCsDs
scl/lucy30tunedBbEbGbCsGs.scl	0A440Lucy30TunedBbEbGbCsGs RootKeyA = CC#DEbEFGbGG#ABbB  ·  lucy30tunedBbEbGbCsGs
scl/lucy31tuned3b2sCsAs.scl	0A440Lucy31Tuned 3b2s RootKeyA = CC#DEbEFGbGAbAA#B  ·  lucy31tuned3b2sCsAs
scl/lucy32tuned3b2sDsFs.scl	0A440Lucy32Tuned 3b2s RootKeyA = CDbDD#EFF#GAbABbB  ·  lucy32tuned3b2sDsFs
scl/lucy33tuned3b2sDsGs.scl	0A440Lucy33Tuned 3b2s RootKeyA = CDbDD#EFGbGG#ABbB  ·  lucy33tuned3b2sDsGs
scl/lucy34tuned3b2sDsAs.scl	0A440Lucy34Tuned 3b2s RootKeyA = CDbDD#EFGbGAbAA#B  ·  lucy34tuned3b2sDsAs
scl/lucy35tuned3b2sFsGs.scl	0A440Lucy35Tuned 3b2s RootKeyA = CDbDEbEFF#GG#ABbB  ·  lucy35tuned3b2sFsGs
scl/lucy36tuned3b2sFsAs.scl	0A440Lucy36Tuned 3b2s RootKeyA = CDbDEbEFF#GAbAA#B  ·  lucy36tuned3b2sFsAs
scl/lucy37tuned3b2sGsAs.scl	0A440Lucy37Tuned 3b2s RootKeyA = CDbDEbEFGbGG#AA#B  ·  lucy37tuned3b2sGsAs
scl/lucy38tuned2b3sDbEb.scl	0A440Lucy38Tuned 2b3s RootKeyA = CDbDEbEFF#GG#AA#B  ·  lucy38tuned2b3sDbEb
scl/lucy39tuned2b3sDbGb.scl	0A440Lucy39Tuned 2b3s RootKeyA = CDbDD#EFGbGG#AA#B  ·  lucy39tuned2b3sDbGb
scl/lucy40tuned2b3sDbAb.scl	0A440Lucy40Tuned 2b3s RootKeyA = CDbDD#EFF#GAbAA#B  ·  lucy40tuned2b3sDbAb
scl/lucy41tuned2b3sDbBb.scl	0A440Lucy41Tuned 2b3s RootKeyA = CDbDD#EFF#GG#ABbB  ·  lucy41tuned2b3sDbBb
scl/lucy42tuned2b3sEbGb.scl	0A440Lucy42Tuned 2b3s RootKeyA = CC#DEbEFGbGG#AA#B  ·  lucy42tuned2b3sEbGb
scl/lucy43tuned2b3sEbAb.scl	0A440Lucy43Tuned 2b3s RootKeyA = CC#DEbEFF#GAbAA#B  ·  lucy43tuned2b3sEbAb
scl/lucy44tuned2b3sGbAb.scl	0A440Lucy44Tuned 2b3s RootKeyA = CC#DD#EFGbGAbAA#B  ·  lucy44tuned2b3sGbAb
scl/lucy45tuned2b3sGbBb.scl	0A440Lucy45Tuned 2b3s RootKeyA = CC#DD#EFGbGG#ABbB  ·  lucy45tuned2b3sGbBb
scl/lucy46tuned2b3sAbBb.scl	0A440Lucy46Tuned 2b3s RootKeyA = CC#DD#EFF#GAbABbB  ·  lucy46tuned2b3sAbBb
scl/lucy50Bbbtuned6b1sFs.scl	0A440Lucy50Tuned 6b1s RootKeyA (resetAtoBbb=+54.1) plays CDbDEbEFF#GAbABbCb  ·  lucy50Bbbtuned6b1sFs
scl/lucy51Bbbtuned3b3sBbEbDbBbbFsGsFx.scl	0A440Lucy51Tuned 3b3s RootKeyA (resetAtoBbb=+54.1) plays CDbDEbEFF#FxG#BbbBbB  ·  lucy51Bbbtuned3b3sBbEbDbBbbFsGsFx
scl/lucy52tuned4b1sAs.scl	0A440Lucy52Tuned 4b1s RootKeyA = CDbDEbEFGbGAbAA#B  ·  lucy52tuned4b1sAs
scl/lucy53tuned4b2sCsFCb.scl	0A440Lucy53Tuned 4b2s RootKeyA = CC#DEbEFF#GAbABbCb  ·  lucy53tuned4b2sCsFCb
scl/lucy55tuned3b3sCxFb.scl	0A440Lucy55Tuned 3b3s RootKeyA = CC#CxEbFbFF#GAbABbB  ·  lucy55tuned3b3sCxFb
